	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Count"	"Population"	"Crude Rate"
	"1999"	"1999"	"<1 year"	"<1"	866	3708753	23.4
	"1999"	"1999"	"1-4 years"	"1-4"	2959	14991152	19.7
	"1999"	"1999"	"5-9 years"	"5-9"	2226	20146188	11.0
	"1999"	"1999"	"10-14 years"	"10-14"	2447	19742631	12.4
	"1999"	"1999"	"15-19 years"	"15-19"	3875	19585857	19.8
	"1999"	"1999"	"20-24 years"	"20-24"	5969	18148795	32.9
	"1999"	"1999"	"25-29 years"	"25-29"	10031	19157556	52.4
	"1999"	"1999"	"30-34 years"	"30-34"	16865	20196134	83.5
	"1999"	"1999"	"35-39 years"	"35-39"	29508	22411728	131.7
	"1999"	"1999"	"40-44 years"	"40-44"	49256	21729686	226.7
	"1999"	"1999"	"45-49 years"	"45-49"	71420	19235534	371.3
	"1999"	"1999"	"50-54 years"	"50-54"	99571	16557188	601.4
	"1999"	"1999"	"55-59 years"	"55-59"	121501	12787366	950.2
	"1999"	"1999"	"60-64 years"	"60-64"	143968	10435791	1379.6
	"1999"	"1999"	"65-69 years"	"65-69"	178278	9311622	1914.6
	"1999"	"1999"	"70-74 years"	"70-74"	198737	8670689	2292.1
	"1999"	"1999"	"75-79 years"	"75-79"	179713	7174978	2504.7
	"1999"	"1999"	"80-84 years"	"80-84"	119816	4767800	2513.0
	"1999"	"1999"	"85+ years"	"85+"	94544	4050040	2334.4
	"2000"	"2000"	"<1 year"	"<1"	898	3767637	23.8
	"2000"	"2000"	"1-4 years"	"1-4"	3094	14974472	20.7
	"2000"	"2000"	"5-9 years"	"5-9"	2297	20008051	11.5
	"2000"	"2000"	"10-14 years"	"10-14"	2520	20164744	12.5
	"2000"	"2000"	"15-19 years"	"15-19"	4072	19799255	20.6
	"2000"	"2000"	"20-24 years"	"20-24"	6114	18665640	32.8
	"2000"	"2000"	"25-29 years"	"25-29"	10248	18869207	54.3
	"2000"	"2000"	"30-34 years"	"30-34"	16957	20113251	84.3
	"2000"	"2000"	"35-39 years"	"35-39"	30058	22183332	135.5
	"2000"	"2000"	"40-44 years"	"40-44"	50907	22047047	230.9
	"2000"	"2000"	"45-49 years"	"45-49"	74946	19789097	378.7
	"2000"	"2000"	"50-54 years"	"50-54"	106458	17394053	612.0
	"2000"	"2000"	"55-59 years"	"55-59"	127276	13258779	959.9
	"2000"	"2000"	"60-64 years"	"60-64"	148076	10602211	1396.7
	"2000"	"2000"	"65-69 years"	"65-69"	177166	9293918	1906.3
	"2000"	"2000"	"70-74 years"	"70-74"	198532	8653508	2294.2
	"2000"	"2000"	"75-79 years"	"75-79"	180844	7270619	2487.3
	"2000"	"2000"	"80-84 years"	"80-84"	123258	4868278	2531.9
