"Notes"	"MSA"	"MSA Code"	"Race"	"Race Code"	"Ethnicity"	"Ethnicity Code"	"Year"	"Year Code"	Count	Population	Crude Rate
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"1999"	"1999"	0	318	0.0
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2000"	"2000"	0	325	0.0
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2001"	"2001"	Suppressed	392	Suppressed
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2002"	"2002"	0	468	0.0
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2003"	"2003"	Suppressed	518	Suppressed
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2004"	"2004"	0	571	0.0
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2005"	"2005"	0	618	0.0
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2006"	"2006"	0	717	0.0
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2007"	"2007"	0	809	0.0
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2008"	"2008"	0	909	0.0
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2009"	"2009"	0	1023	0.0
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2010"	"2010"	Suppressed	1059	Suppressed
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2011"	"2011"	0	1150	0.0
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2012"	"2012"	0	1267	0.0
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2013"	"2013"	0	1393	0.0
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2014"	"2014"	Suppressed	1537	Suppressed
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2015"	"2015"	Suppressed	1659	Suppressed
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2016"	"2016"	Suppressed	1773	Suppressed
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	"2017"	"2017"	Suppressed	1869	Suppressed
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"1999"	"1999"	28	14421	194.2
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2000"	"2000"	16	15215	105.2
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2001"	"2001"	22	16000	137.5
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2002"	"2002"	24	16694	143.8
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2003"	"2003"	34	17513	194.1
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2004"	"2004"	26	18429	141.1
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2005"	"2005"	27	19536	138.2
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2006"	"2006"	25	21236	117.7
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2007"	"2007"	30	22582	132.8
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2008"	"2008"	30	23931	125.4
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2009"	"2009"	32	25126	127.4
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2010"	"2010"	39	26574	146.8
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2011"	"2011"	19	28107	67.6
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2012"	"2012"	17	30062	56.5
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2013"	"2013"	41	31620	129.7
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2014"	"2014"	42	33272	126.2
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2015"	"2015"	34	34862	97.5
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2016"	"2016"	45	36374	123.7
	"Austin-Round Rock, TX"	"12420"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	"2017"	"2017"	45	37877	118.8
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Hispanic"	"2135-2"	"1999"	"1999"	38	29831	127.4
	"Austin-Round Rock, TX"	"12420"	"White"	"2106-3"	"Hispanic"	"2135-2"	"2000"	"2000"	43	32568	132.0
